allegiance,death_no,episode,killer,killers_house,location,method,name,season
Night's Watch,1,1,White Walker,None,Beyond the Wall,Ice sword,Waymar Royce,1
Night's Watch,2,1,White Walker,None,Beyond the Wall,Ice sword,Gared,1
Night's Watch,3,1,Ned Stark,House Stark,Winterfell,Sword,Will,1
None,4,1,Direwolf,None,Winterfell,Teeth,Stag,1
None,5,1,Stag,None,Winterfell,Antler,Direwolf,1
House Arryn,6,1,Lysa Arryn,House Arryn,King's Landing,Poison,Jon Arryn,1
Dothraki,7,1,Dothraki man,Dothraki,Pentos,Arakh,Dothraki man,1
None,8,2,Summer,House Stark,Winterfell,Teeth,Catspaw assassin,1
Smallfolk,9,2,"Sandor ""the Hound"" Clegane",House Lannister,Kingsroad,Sword,Mycah,1
House Stark,10,2,Ned Stark,House Stark,Kingsroad,Knife,Lady,1
House Arryn,11,4,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Spear,Ser Hugh of the Vale,1
House Clegane,12,5,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Clegane's horse,1
House Stark,13,5,Tribesman,None,Eastern Road,Bolo,Stark soldier,1
None,14,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1
None,15,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1
None,16,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1
House Stark,17,5,Tribesman,None,Eastern Road,Mace,Stark soldier,1
None,18,5,Tyrion Lannister,House Lannister,Eastern Road,Shield,Tribesman,1
None,19,5,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,1
None,20,5,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,1
None,21,5,Bronn,House Lannister,Eastern Road,Knife,Tribesman,1
House Stark,22,5,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,1
House Stark,23,5,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,1
House Lannister,24,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1
House Lannister,25,5,Ned Stark,House Stark,King's Landing,Sword,Lannister soldier,1
House Lannister,26,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1
House Lannister,27,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1
House Stark,28,5,Jaime Lannister,House Lannister,King's Landing,Knife,Jory Cassel,1
Free Folk,29,6,Robb Stark,House Stark,Winterfell,Sword,Wallen,1
Free Folk,30,6,Robb Stark,House Stark,Winterfell,Sword,Wildling,1
Free Folk,31,6,Theon Greyjoy,House Bolton,Winterfell,Arrow,Stiv,1
House Arryn,32,6,Bronn,House Lannister,The Eyrie,Sword,Vardis Egen,1
House Targaryen,33,6,Khal Drogo,Dothraki,Vaes Dothrak,Molten gold,Viserys Targaryen,1
House Baratheon of King's Landing,34,7,Boar,None,King's Landing,Tusk,Robert Baratheon,1
House Stark,35,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1
House Stark,36,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1
House Stark,37,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1
House Stark,38,7,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Stark soldier,1
House Stark,39,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,1
House Stark,40,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,1
House Stark,41,8,Lannister soldier,House Lannister,King's Landing,Sword,Vayon Poole,1
House Stark,42,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,1
House Stark,43,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,1
House Stark,44,8,Lannister soldier,House Lannister,King's Landing,Sword,Septa Mordane,1
House Stark,45,8,Meryn Trant,House Trant,King's Landing,Sword,Syrio Forel,1
Smallfolk,46,8,Arya Stark,House Stark,King's Landing,Sword,Stableboy,1
None,47,8,Jon Snow,House Stark,Castle Black,Fire,Othor,1
None,48,8,Night's Watch brother,Night's Watch,Castle Black,Fire,Jafer Flowers,1
Dothraki,49,8,Khal Drogo,Dothraki,Lhazar,Hands,Mago,1
Dothraki,50,9,Mirri Maz Duur,None,Red Waste,Knife,Drogo's horse,1
Dothraki,51,9,Jorah Mormont,House Targaryen,Red Waste,Sword,Qotho,1
House Stark,52,9,Hill tribesman,None,Unknown,Hammer,Stark soldier,1
House Stark,53,9,Hill tribesman,None,Unknown,Sword,Stark soldier,1
None,54,9,Arya Stark,House Stark,King's Landing,Hands,Pigeon,1
House Stark,55,9,Ilyn Payne,House Payne,King's Landing,Sword,Ned Stark,1
Dothraki,56,10,Mirri Maz Duur,None,Red Waste,Magic,Rhaego,1
Dothraki,57,10,Daenerys Targaryen,House Targaryen,Red Waste,Pillow,Khal Drogo,1
