death_no,episode,killer,killers_house,location,method,name,season,count
3,1,Ned Stark,House Stark,Winterfell,Sword,Will,1,1
6,1,Lysa Arryn,House Arryn,King's Landing,Poison,Jon Arryn,1,1
7,1,Dothraki man,Dothraki,Pentos,Arakh,Dothraki man,1,1
9,2,"Sandor ""the Hound"" Clegane",House Lannister,Kingsroad,Sword,Mycah,1,1
10,2,Ned Stark,House Stark,Kingsroad,Knife,Lady,1,1
11,4,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Spear,Ser Hugh of the Vale,1,1
12,5,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Clegane's horse,1,1
14,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1,1
15,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1,1
16,5,Bronn,House Lannister,Eastern Road,Sword,Tribesman,1,1
19,5,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,1,1
20,5,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,1,1
21,5,Bronn,House Lannister,Eastern Road,Knife,Tribesman,1,1
22,5,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,1,1
23,5,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,1,1
24,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1,1
25,5,Ned Stark,House Stark,King's Landing,Sword,Lannister soldier,1,1
26,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1,1
27,5,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,1,1
28,5,Jaime Lannister,House Lannister,King's Landing,Knife,Jory Cassel,1,1
29,6,Robb Stark,House Stark,Winterfell,Sword,Wallen,1,1
30,6,Robb Stark,House Stark,Winterfell,Sword,Wildling,1,1
31,6,Theon Greyjoy,House Bolton,Winterfell,Arrow,Stiv,1,1
32,6,Bronn,House Lannister,The Eyrie,Sword,Vardis Egen,1,1
35,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1,1
36,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1,1
37,7,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,1,1
38,7,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Stark soldier,1,1
39,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,1,1
40,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,1,1
41,8,Lannister soldier,House Lannister,King's Landing,Sword,Vayon Poole,1,1
42,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,1,1
43,8,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,1,1
44,8,Lannister soldier,House Lannister,King's Landing,Sword,Septa Mordane,1,1
45,8,Meryn Trant,House Trant,King's Landing,Sword,Syrio Forel,1,1
46,8,Arya Stark,House Stark,King's Landing,Sword,Stableboy,1,1
50,9,Mirri Maz Duur,None,Red Waste,Knife,Drogo's horse,1,1
51,9,Jorah Mormont,House Targaryen,Red Waste,Sword,Qotho,1,1
53,9,Hill tribesman,None,Unknown,Sword,Stark soldier,1,1
55,9,Ilyn Payne,House Payne,King's Landing,Sword,Ned Stark,1,1
61,1,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Dragonstone,Poison,Maester Cressen,2,1
62,1,Janos Slynt,Night's Watch,King's Landing,Knife,Barra (Baratheon illegitimate son),2,1
63,1,City watch guard,House Lannister,King's Landing,Knife,Robert Baratheon's illegitimate son,2,1
67,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2,1
68,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2,1
69,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2,1
70,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2,1
71,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2,1
72,3,Amory Lorch,House Lannister,Riverlands,Sword,Yoren,2,1
73,3,Lannister soldier,House Lannister,Riverlands,Spear,Night's Watch recruit,2,1
74,3,Polliver,House Baratheon of King's Landing,Riverlands,Sword,Lommy Greenhands,2,1
79,5,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,2,1
80,5,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,2,1
82,6,Theon Greyjoy,House Bolton,Winterfell,Sword,Rodrik Cassel,2,1
83,6,Night's Watch brother,Night's Watch,Beyond the Wall,Arrow,Wildling,2,1
84,6,Qhorin Halfhand,Night's Watch,Beyond the Wall,Sword,Wildling,2,1
86,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,2,1
87,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,2,1
88,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2,1
89,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2,1
90,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2,1
92,6,Osha,House Stark,Winterfell,Knife,Drennan,2,1
96,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Spice King,2,1
97,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Silk King,2,1
98,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Copper King,2,1
99,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
100,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
101,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
102,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
103,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
104,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
105,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
106,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2,1
109,9,Bronn,House Lannister,King's Landing,Wildfire,Matthos Seaworth,2,1
110,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
111,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
112,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
113,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
114,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
115,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
116,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
117,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
118,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
119,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
121,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
122,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2,1
123,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
124,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
125,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
126,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
127,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
128,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
129,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
130,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
131,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
132,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
133,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
134,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
135,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
136,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
137,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
138,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
139,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
140,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
141,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
142,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2,1
144,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2,1
145,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2,1
146,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2,1
